地域コード,地域,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介,肉類,乳卵類,野菜・海藻,生鮮野菜,果物,生鮮果物,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費,year,month
00000,全国,106.8,106.4,108,107.6,105.9,102.9,115.2,116,115.1,115.3,125.7,125,113.5,122.3,110.9,109.8,115.9,117.6,117.5,120,116.6,112.6,108.8,110.5,102.6,109.1,100.3,100.1,116.3,107.1,103.4,111.8,140.5,102.6,115.7,115.6,116,108.7,115.9,120.6,102.6,107.4,107.4,103.5,107.5,107.2,105.4,111.1,106.7,106.1,111.3,102,106.1,107,98.3,97.1,104.5,107,74.4,102.4,100.4,104.8,107.3,109.8,104.9,108.1,111,111,104.1,104.1,101,114.8,114.4,101.6,113.5,102.3,109.3,74.4,2023,12
00012,大都市,106.5,106.1,107.7,107.3,105.8,102.9,114.9,115.8,114.8,115.6,124.8,123.8,112.8,121.6,110.6,109.9,116.8,118.7,117,120.2,116.1,112.8,108.3,110.8,102.1,106.2,100.4,100,113.9,105.8,103.4,111.7,137.5,99.6,115.2,114.5,118.3,111.2,115.3,119.1,102.4,107.6,107.3,105.1,107.3,108.2,106.2,112.5,106.5,106.9,110.3,101.9,106.3,107,98.2,96,104.9,106.3,74.4,102.5,100.2,104.6,108.4,110.5,105.3,108.3,110.8,112,104.5,104.8,101.1,115.9,114.4,101.7,111.5,102.2,109.8,75,2023,12
00013,中都市,106.6,106.3,107.9,107.5,105.7,102.7,115.2,115.8,115.1,115.2,125.9,125.1,113.6,122.3,110.6,109.6,115.6,117.3,117.4,119.3,116.9,112.6,109,110.7,102.3,109.2,99.9,100,116.6,106.8,103.3,111.7,140.1,102.2,115.9,116.3,116.1,106.4,115.4,121.1,102.9,107.2,107.6,102.9,107.7,106.5,104.4,110.7,106.7,105.2,112.7,102,105.8,107.2,98.2,97.2,104.5,106.9,74.4,102.2,100.4,104.7,106.4,109.3,104.8,107.4,110.7,110.5,103.9,103.5,100.8,114.2,114.4,102,113.4,102.4,108.9,74.8,2023,12
00018,小都市Ａ,107,106.7,108.2,107.9,106,103,115.2,115.7,115.2,114.7,126.9,125.9,114,122.3,111.2,109.4,114,115.4,117.5,120,116.5,112.5,108.7,110.2,103.1,111.4,100.3,100.2,116.9,107.3,103.3,111.7,140.6,103.2,116,116,114.9,108,116.3,122.2,103,107.2,107.5,103.1,107.7,106.5,104.8,109.7,105.8,106.7,112.3,102.1,106.5,106.3,98.3,97.5,104,107.4,74.4,102.7,100.9,104.8,107,109.9,104.7,108.6,111.1,110.9,104.1,104,101.5,113.6,114.4,101.5,114.2,102.5,109.4,74,2023,12
00021,小都市Ｂ・町村,107.4,107,108.5,108.1,106.1,102.9,115.8,117.3,115.5,115.8,125.1,125.3,114,123.4,111.8,110.7,118.2,119.7,118.3,120.8,117.4,112.3,109.5,109.9,103.9,113,100.9,100.5,119.1,109.4,103.4,112.4,142.5,107.8,115.5,115.7,112.7,110.3,117.7,119.8,102,107.7,107.2,102.4,107.3,108.2,106.6,111.5,109,105.8,108.2,102.2,105.7,107.9,98.2,97.9,103.8,107.5,74.4,101.8,100,105.1,106,109.2,104.5,108.6,111.4,109.9,103.8,104.3,100.7,115.3,114.4,100.8,115.5,102.1,108.9,73.4,2023,12
00042,北海道地方,108.3,107.7,109.5,108.8,105.9,102.9,116.4,122.6,115.2,113.8,126.8,129.2,112.8,126.4,117.8,119.6,117.9,120,118.2,121.6,117.4,111.2,106.6,110.8,103.4,109.4,100.2,100,119.2,116.7,111.9,109.2,144.4,101.1,115.4,112.5,122.7,116.5,115.6,119.7,102.5,109.4,111.5,119.9,111.3,106.3,104.2,111.1,110.3,110.1,105.9,101.5,106.3,103.4,98.3,98,104.5,108.5,75.2,100.3,98.7,104.7,104.5,109.5,105.4,103.5,109.4,112.9,105.2,110.5,97.7,116.4,114.4,102.8,123,101,109.1,75.2,2023,12
00043,東北地方,108.2,107.8,109.4,108.9,106.6,103.3,116.2,117.2,116,115.7,126.9,129.3,118.5,124.7,111.7,110.2,115.1,116.3,120.7,119,118.3,113.1,108.1,108.6,104.6,114.1,101,100.4,122.6,111.4,103.8,113.1,146.4,102.5,114.8,113.9,109.8,111.2,114.4,121.1,105.5,110.2,113.2,104.9,113.5,109.7,108.2,112.4,106.4,104.4,110.3,102.5,106.1,107.9,98.3,98,102.2,108.4,75,100.2,98.2,104.7,105.4,111,104.4,109.8,113,112.1,104.3,103.8,101.8,115.4,114.4,101.9,118.2,99.9,110.3,73.9,2023,12
00044,関東地方,106.7,106.3,108.1,107.7,105.8,103.1,114.9,115.5,114.7,115.6,126.3,125.5,112.4,120.9,109.7,109.1,115.9,117.8,117.7,119.2,116.5,112.1,108.9,110.8,102.2,107.9,100.4,100.2,114.9,108,106.4,112.9,136.4,101.7,115,114.5,117,111.1,114.5,119.8,102.3,106.6,106.7,103.4,106.8,106.7,104.8,110.6,104,107.6,110.3,101.7,105.7,105.9,98.3,97.3,104.7,107.5,74.6,103,101.2,104.6,107.6,110.6,105.2,107.9,111.7,112.2,104.3,104.6,100.7,114.6,114.4,101.6,114.1,102.6,109.9,75.8,2023,12
00049,北陸地方,106.3,105.9,107.7,107.3,104.9,101.8,114.6,116.5,114.2,114.2,127.4,128.5,112.4,117.6,110.9,107.8,117.3,119,117.6,119.2,113.8,110.3,109.4,111.1,100.8,108.5,98.8,99.4,112.6,110,108.6,109.5,134.5,105.2,113.4,112.5,108.4,102.1,114.1,120.2,101.9,108.4,106.5,103.9,106.6,106.4,104.1,111.4,115.9,110,111,101.2,105.2,103.1,98.2,98.1,103,107.9,74.1,101.5,100.4,104.8,103.7,109,105.1,110.7,106.4,109.4,103.4,102.4,101.2,115.8,114.4,100.9,116.2,100.6,108.6,73.9,2023,12
00050,東海地方,106.9,106.6,108,107.6,105.9,103.3,114.2,115.7,113.9,114.3,126.3,124,112.4,122.1,110.7,109.5,116.5,117.6,114.6,118.5,115.4,113.9,107.3,108.4,103,109.4,100.7,100.2,113.3,108.8,106.1,113,140.7,105.1,117.5,120.2,114.2,102,119.4,121.9,102.2,108.1,108,103.6,108.2,107.6,106.5,110,109.1,103.4,115.7,102.5,106.4,109.8,98.2,98,103.9,106.8,73.9,103,99.6,104.7,109.8,110.2,104.1,112.5,108.2,110.5,103.8,102.7,101.1,114.2,114.4,101.8,115.2,103.7,109.6,73.7,2023,12
